customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total
0036-IHMOT,Não,Female,0,Sim,Sim,55,Sim,Não,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,One year,Sim,Bank transfer (automatic),103.7,5656.75
0040-HALCW,Não,Male,0,Sim,Sim,54,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Não,Credit card (automatic),20.4,1090.6
0042-JVWOJ,Não,Male,0,Não,Não,26,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Sim,Bank transfer (automatic),19.6,471.85
0042-RLHYP,Não,Female,0,Sim,Sim,69,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Não,Bank transfer (automatic),19.7,1396.9
0047-ZHDTW,,Female,0,Não,Não,11,Sim,Sim,Fiber optic,Sim,Não,Não,Não,Não,Não,Month-to-month,Sim,Bank transfer (automatic),79.0,929.3
0048-LUMLS,Não,Male,0,Sim,Sim,37,Sim,Não,Fiber optic,Não,Não,Não,Não,Sim,Sim,One year,Não,Credit card (automatic),91.2,3247.55
0048-PIHNL,Não,Female,0,Sim,Não,49,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Não,Bank transfer (automatic),20.45,900.9
0052-DCKON,Não,Male,0,Sim,Não,66,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,One year,Não,Bank transfer (automatic),115.8,7942.15
0052-YNYOT,Não,Female,0,Não,Não,67,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Não,Electronic check,20.55,1343.4
0056-EPFBG,Não,Male,0,Sim,Sim,20,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Two year,Sim,Credit card (automatic),39.4,825.4
0057-QBUQH,Não,Female,0,Não,Sim,43,Sim,Sim,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Sim,Electronic check,25.1,1070.15
0058-EVZWM,Não,Female,0,Sim,Não,55,Sim,Sim,Fiber optic,Sim,Não,Não,Não,Sim,Não,Month-to-month,Sim,Bank transfer (automatic),89.8,4959.6
0060-FUALY,Não,Female,0,Sim,Não,59,Sim,Sim,Fiber optic,Sim,Sim,Não,Não,Sim,Não,Month-to-month,Sim,Electronic check,94.75,5597.65
0064-SUDOG,Não,Female,0,Sim,Sim,12,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Não,Bank transfer (automatic),20.3,224.5
0064-YIJGF,Não,Male,0,Sim,Sim,27,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Bank transfer (automatic),75.75,1929.0
0067-DKWBL,Sim,Male,1,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Month-to-month,Sim,Electronic check,49.25,91.1
0068-FIGTF,Não,Female,0,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,One year,Não,Mailed check,78.2,2078.95
0071-NDAFP,Não,Male,0,Sim,Sim,25,Sim,Sim,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Não,Credit card (automatic),25.5,630.6
0074-HDKDG,Não,Male,0,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,One year,Sim,Bank transfer (automatic),61.6,1611.0
0076-LVEPS,Não,Male,0,Não,Sim,29,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Month-to-month,Sim,Mailed check,45.0,1242.45
0078-XZMHT,Não,Male,0,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Two year,Sim,Bank transfer (automatic),85.15,6316.2
0080-EMYVY,Não,Female,0,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,One year,Não,Credit card (automatic),51.45,727.85
0080-OROZO,Não,Female,0,Não,Não,35,Sim,Não,Fiber optic,Não,Não,Sim,Sim,Sim,Sim,One year,Sim,Electronic check,99.25,3532.0
0082-LDZUE,Não,Male,0,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Mailed check,44.3,44.3
0082-OQIQY,Não,Male,0,Não,Não,29,Sim,Não,Fiber optic,Não,Não,Não,Sim,Sim,Sim,Month-to-month,Sim,Electronic check,94.2,2607.6
0083-PIVIK,Não,Male,0,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,One year,Não,Electronic check,81.25,5567.55
0089-IIQKO,Não,Female,0,Sim,Sim,39,Sim,Sim,Fiber optic,Não,Não,Não,Sim,Sim,Sim,Month-to-month,Sim,Credit card (automatic),99.95,3767.4
0093-EXYQL,Não,Female,1,Não,Não,40,Sim,Não,Fiber optic,Não,Não,Não,Não,Sim,Sim,Month-to-month,Sim,Electronic check,91.55,3673.6
0093-XWZFY,Sim,Male,0,Não,Não,40,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,Month-to-month,Sim,Credit card (automatic),104.5,4036.85
0094-OIFMO,Sim,Female,1,Não,Não,11,Sim,Não,Fiber optic,Não,Sim,Não,Não,Sim,Sim,Month-to-month,Sim,Electronic check,95.0,1120.3
0096-BXERS,Não,Female,0,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Month-to-month,Não,Electronic check,50.35,314.55
0096-FCPUF,Não,Male,0,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Month-to-month,Sim,Mailed check,64.5,1888.45
0098-BOWSO,Não,Male,0,Não,Não,27,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Sim,Electronic check,19.4,529.8
0100-DUVFC,Não,Male,1,Sim,Não,70,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,One year,Sim,Electronic check,104.8,7308.95
0103-CSITQ,Não,Female,0,Sim,Não,57,Sim,Sim,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,One year,Sim,Bank transfer (automatic),109.4,6252.7
0104-PPXDV,Não,Male,0,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,One year,Não,Credit card (automatic),50.3,2878.55
0106-GHRQR,Não,Male,0,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Month-to-month,Sim,Bank transfer (automatic),71.4,1212.1
0106-UGRDO,Não,Female,0,Sim,Não,69,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Two year,Sim,Electronic check,116.0,8182.85
0107-WESLM,Sim,Male,0,Não,Não,1,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Sim,Electronic check,19.85,19.85
0107-YHINA,Sim,Male,0,Não,Sim,1,Sim,Sim,Fiber optic,Não,Não,Sim,Não,Sim,Sim,Month-to-month,Sim,Electronic check,99.75,99.75
0111-KLBQG,Não,Male,1,Sim,Sim,32,Sim,Não,Fiber optic,Não,Sim,Não,Não,Sim,Sim,Month-to-month,Sim,Mailed check,93.95,2861.45
0112-QAWRZ,Não,Male,0,Sim,Sim,16,Sim,Sim,Fiber optic,Não,Não,Sim,Não,Sim,Não,Month-to-month,Sim,Bank transfer (automatic),90.8,1442.2
0112-QWPNC,Sim,Male,0,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,One year,Não,Electronic check,84.35,4059.35
0114-IGABW,Não,Female,0,Sim,Não,71,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Two year,Não,Bank transfer (automatic),58.25,4145.9
0114-PEGZZ,Não,Female,0,Não,Não,33,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,Month-to-month,Não,Electronic check,107.55,3645.5
0114-RSRRW,Não,Female,0,Sim,Não,10,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Sim,Bank transfer (automatic),19.95,187.75
0115-TFERT,Sim,Male,0,Sim,Não,21,Sim,Sim,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,Month-to-month,Sim,Electronic check,111.2,2317.1
0117-LFRMW,Sim,Male,0,Sim,Sim,37,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Month-to-month,Não,Bank transfer (automatic),40.2,1448.8
0118-JPNOY,Não,Female,1,Não,Não,26,Sim,Não,Fiber optic,Sim,Não,Não,Não,Sim,Não,Month-to-month,Sim,Credit card (automatic),85.8,2193.65
0120-YZLQA,,Male,0,Não,Não,71,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Sim,Credit card (automatic),19.9,1355.1
0121-SNYRK,Não,Male,0,Não,Não,50,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,One year,Sim,Mailed check,35.4,1748.9
0122-OAHPZ,Sim,Female,0,Não,Não,7,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Electronic check,73.85,511.25
0123-CRBRT,Não,Female,0,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Two year,Não,Mailed check,88.1,5526.75
0125-LZQXK,Sim,Male,0,Não,Não,15,Sim,Não,Fiber optic,Não,Não,Sim,Sim,Sim,Sim,Month-to-month,Sim,Electronic check,101.35,1553.95
0128-MKWSG,Não,Female,0,Não,Sim,26,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Month-to-month,Não,Mailed check,45.8,1147.0
0129-KPTWJ,Não,Male,0,Sim,Não,72,Sim,Não,Fiber optic,Não,Não,Sim,Não,Sim,Sim,Month-to-month,Sim,Electronic check,94.65,6747.35
0129-QMPDR,Não,Male,0,Sim,Sim,44,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Sim,Bank transfer (automatic),20.5,865.05
0130-SXOUN,Não,Male,0,Não,Não,66,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Não,Sim,Month-to-month,Não,Credit card (automatic),89.4,5976.9
0133-BMFZO,Sim,Female,0,Não,Não,2,Sim,Não,Fiber optic,Sim,Sim,Não,Sim,Não,Não,Month-to-month,Sim,Electronic check,86.25,181.65
0134-XWXCE,Não,Female,1,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,One year,Não,Bank transfer (automatic),74.85,3268.05
0135-NMXAP,Sim,Female,0,Não,Não,12,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Sim,Não,Month-to-month,Sim,Bank transfer (automatic),89.75,1052.4
0136-IFMYD,Não,Male,1,Sim,Não,69,Sim,Sim,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,Two year,Sim,Electronic check,109.95,7634.25
0137-OCGAB,Sim,Female,0,Não,Não,1,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Não,Não,Month-to-month,Sim,Mailed check,80.2,80.2
0137-UDEUO,Sim,Female,0,Não,Não,3,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Não,Mailed check,19.85,63.75
0139-IVFJG,Não,Female,0,Sim,Não,2,Sim,Não,Fiber optic,Sim,Sim,Não,Não,Sim,Não,Month-to-month,Não,Electronic check,90.35,190.5
0141-YEAYS,Não,Female,1,Não,Não,27,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Não,Não,Month-to-month,Sim,Bank transfer (automatic),86.45,2401.05
0142-GVYSN,Não,Male,0,Não,Não,26,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Sim,Electronic check,20.3,511.25
0147-ESWWR,Não,Female,1,Sim,Não,39,Sim,Sim,Fiber optic,Não,Não,Não,Sim,Sim,Sim,Month-to-month,Sim,Electronic check,101.25,3949.15
0148-DCDOS,Sim,Male,0,Não,Não,25,Sim,Sim,Fiber optic,Não,Não,Não,Não,Sim,Sim,Month-to-month,Sim,Bank transfer (automatic),94.7,2362.1
0151-ONTOV,Sim,Female,0,Não,Não,1,Sim,Não,Fiber optic,Não,Não,Não,Não,Não,Não,Month-to-month,Não,Mailed check,70.9,70.9
0154-QYHJU,,Male,0,Não,Não,29,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,One year,Sim,Electronic check,58.75,1696.2
0156-FVPTA,Sim,Male,0,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Month-to-month,Sim,Electronic check,54.2,1152.7
0162-RZGMZ,,Female,1,Não,Não,5,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Month-to-month,Não,Credit card (automatic),59.9,287.85
0164-APGRB,Não,Female,0,Não,Não,72,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Two year,Sim,Electronic check,114.9,8496.7
0164-XAIRP,Não,Female,0,Não,Não,24,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Sim,Bank transfer (automatic),19.55,470.2
0168-XZKBB,Não,Female,0,Sim,Não,19,Sim,Sim,Fiber optic,Não,Não,Não,Não,Sim,Não,Month-to-month,Sim,Electronic check,86.85,1564.4
0174-QRVVY,Não,Male,0,Sim,Sim,71,Sim,Sim,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Não,Credit card (automatic),25.35,1847.55
0177-PXBAT,Não,Male,1,Sim,Não,33,Sim,Sim,Fiber optic,Sim,Não,Sim,Sim,Sim,Sim,Month-to-month,Sim,Bank transfer (automatic),109.9,3694.7
0178-CIIKR,Não,Female,0,Não,Não,3,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Não,Mailed check,19.95,58.0
0178-SZBHO,Não,Male,0,Sim,Sim,47,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Sim,Não,Month-to-month,Não,Electronic check,87.2,4017.45
0181-RITDD,Não,Male,0,Sim,Sim,62,Sim,Não,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Two year,Não,Mailed check,108.15,6825.65
0186-CAERR,Não,Male,0,Não,Não,71,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,One year,Sim,Bank transfer (automatic),116.3,8309.55
0187-QSXOE,Não,Male,1,Sim,Não,7,Sim,Não,Fiber optic,Não,Não,Não,Não,Sim,Sim,Month-to-month,Sim,Electronic check,89.0,605.45
0187-WZNAB,Não,Female,0,Sim,Sim,27,Sim,Não,Fiber optic,Sim,Não,Não,Não,Não,Não,Month-to-month,Não,Mailed check,74.4,1972.35
0188-GWFLE,Não,Male,0,Não,Não,2,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Não,Mailed check,20.05,33.7
0191-EQUUH,Não,Female,0,Não,Sim,25,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Two year,Não,Bank transfer (automatic),35.05,844.45
0191-ZHSKZ,Não,Male,1,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Month-to-month,Sim,Electronic check,74.75,2111.3
0193-ESZXP,Sim,Female,1,Sim,Não,58,Sim,Não,Fiber optic,Sim,Sim,Não,Sim,Sim,Sim,One year,Sim,Credit card (automatic),105.5,6205.5
0195-IESCP,Sim,Male,0,Sim,Não,10,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Sim,Month-to-month,Sim,Electronic check,85.25,855.3
0196-JTUQI,Não,Female,0,Não,Não,9,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Credit card (automatic),75.2,633.85
0196-VULGZ,Sim,Female,1,Sim,Não,6,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Sim,Month-to-month,Sim,Electronic check,84.35,474.9
0197-PNKNK,Não,Female,0,Sim,Sim,69,Sim,Sim,Fiber optic,Sim,Não,Sim,Não,Não,Não,One year,Não,Bank transfer (automatic),84.45,5848.6
0201-MIBOL,Não,Female,1,Não,Não,66,Sim,Sim,Fiber optic,Sim,Não,Não,Não,Sim,Sim,Two year,Sim,Bank transfer (automatic),102.4,6471.85
0201-OAMXR,Sim,Female,0,Não,Não,70,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,One year,Não,Credit card (automatic),115.55,8127.6
0203-HHYIJ,Sim,Male,0,Não,Não,25,Sim,Sim,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Não,Bank transfer (automatic),25.3,676.35
0206-OYVOC,Não,Female,0,Sim,Sim,46,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Sim,Mailed check,19.25,864.2
0206-TBWLC,Não,Female,0,Sim,Não,54,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,One year,Sim,Mailed check,114.65,6049.5
0207-MDKNV,Sim,Female,0,Não,Não,15,Sim,Não,Fiber optic,Sim,Não,Sim,Sim,Sim,Sim,Month-to-month,Não,Electronic check,105.1,1582.75
0208-BPQEJ,Não,Female,0,Sim,Sim,12,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Month-to-month,Não,Bank transfer (automatic),19.4,198.1
0212-ISBBF,Não,Female,0,Não,Não,22,Não,Sem serviço de telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Month-to-month,Sim,Electronic check,50.35,1098.85
0214-JHPFW,Não,Female,0,Sim,Não,70,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Two year,Não,Bank transfer (automatic),57.8,4039.3
0215-BQKGS,Não,Male,0,Não,Não,30,Sim,Não,Fiber optic,Sim,Sim,Sim,Não,Não,Não,Month-to-month,Sim,Credit card (automatic),84.3,2438.6
0218-QNVAS,Não,Male,0,Sim,Sim,71,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Sim,Sim,One year,Não,Bank transfer (automatic),100.55,7113.75
0219-QAERP,Não,Male,0,Sim,Não,30,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Não,Credit card (automatic),19.8,576.65
0219-YTZUE,Sim,Male,0,Sim,Sim,4,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Não,Não,Month-to-month,Sim,Bank transfer (automatic),84.8,371.9
0220-EBGCE,Sim,Male,0,Não,Não,2,Sim,Não,Fiber optic,Não,Não,Sim,Não,Não,Sim,Month-to-month,Sim,Electronic check,85.85,167.3
0221-NAUXK,Não,Male,0,Não,Sim,10,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,One year,Sim,Bank transfer (automatic),19.95,219.5
0221-WMXNQ,Não,Male,1,Não,Não,4,Sim,Não,Fiber optic,Sim,Não,Não,Não,Não,Não,Month-to-month,Não,Electronic check,75.35,273.4
0222-CNVPT,Não,Male,1,Não,Não,52,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Sim,Sim,Month-to-month,Sim,Credit card (automatic),48.8,2555.05
0224-HJAPT,Sim,Male,0,Não,Não,5,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Month-to-month,Não,Electronic check,47.15,223.15
0224-NIJLP,Não,Male,0,Sim,Sim,8,Sim,Não,No,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Two year,Não,Mailed check,20.15,165.5
0224-RLWWD,Não,Female,1,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Month-to-month,Sim,Electronic check,44.3,89.3
0225-ZORZP,Não,Male,0,Não,Não,3,Sim,Não,Fiber optic,Não,Sim,Não,Não,Não,Sim,Month-to-month,Não,Electronic check,84.3,235.05
0228-MAUWC,Não,Male,0,Não,Não,19,Sim,Sim,DSL,Não,Não,Sim,Sim,Não,Não,Month-to-month,Não,Electronic check,59.55,1144.6
0229-LFJAF,Não,Male,0,Não,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Two year,Não,Bank transfer (automatic),69.65,4908.25
0230-UBYPQ,Não,Male,1,Sim,Não,63,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,One year,Não,Bank transfer (automatic),36.1,2298.9
0230-WEQUW,Não,Male,0,Sim,Não,66,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Sim,Não,Two year,Sim,Bank transfer (automatic),56.6,3789.2
0231-LXVAP,Sim,Male,0,Não,Não,1,Sim,Não,Fiber optic,Não,Não,Não,Sim,Não,Não,Month-to-month,Sim,Electronic check,75.9,75.9
0233-FTHAV,Não,Female,0,Não,Não,60,Sim,Sim,Fiber optic,Não,Não,Sim,Não,Não,Não,One year,Sim,Bank transfer (automatic),79.2,4765.0
0234-TEVTT,Não,Female,0,Sim,Sim,48,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Não,Não,Sim,One year,Não,Credit card (automatic),45.0,2196.3
0235-KGSLC,Sim,Female,0,Não,Não,1,Sim,Não,Fiber optic,Não,Não,Sim,Não,Sim,Não,Month-to-month,Sim,Credit card (automatic),85.55,85.55
